title,vote_average,popularity
The Shawshank Redemption,8.711,25.3318
The Godfather,8.685,26.3705
The Godfather Part II,8.571,13.4802
Schindler's List,8.566,10.6071
12 Angry Men,8.548,9.0143
Spirited Away,8.534,15.8954
The Dark Knight,8.524,33.2459
The Green Mile,8.502,14.272
Dilwale Dulhania Le Jayenge,8.5,6.8739
GoodFellas,8.5,11.8458
Parasite,8.496,20.2127
The Lord of the Rings: The Return of the King,8.49,19.3789
Pulp Fiction,8.487,16.7978
Your Name.,8.479,18.1659
Forrest Gump,8.463,32.6138
Interstellar,8.462,35.86
"The Good, the Bad and the Ugly",8.461,10.8919
Seven Samurai,8.451,7.4517
Grave of the Fireflies,8.447,0.0113
Life Is Beautiful,8.44,8.0713
Fight Club,8.438,16.2348
Harakiri,8.433,4.6277
The Lord of the Rings: The Fellowship of the Ring,8.426,41.7819
Psycho,8.422,11.8264
A Dog's Will,8.421,1.1714
One Flew Over the Cuckoo's Nest,8.413,9.5694
The Lord of the Rings: The Two Towers,8.411,17.4756
High and Low,8.4,6.2949
City of God,8.4,8.7878
Gabriel's Inferno,8.4,2.6009
Cinema Paradiso,8.4,3.7079
Once Upon a Time in America,8.399,7.7326
Spider-Man: Into the Spider-Verse,8.395,14.5378
Howl's Moving Castle,8.394,12.2406
The Empire Strikes Back,8.394,5.2899
A Silent Voice: The Movie,8.386,9.3485
The Pianist,8.38,7.4234
Se7en,8.377,13.3847
Whiplash,8.374,11.3422
Inception,8.37,20.9107
Gabriel's Inferno: Part II,8.368,0.9451
Gabriel's Inferno: Part III,8.359,3.7644
Rear Window,8.349,4.5709
The Silence of the Lambs,8.346,3.1673
Spider-Man: Across the Spider-Verse,8.336,16.5727
American History X,8.331,6.933
Princess Mononoke,8.326,10.5629
Back to the Future,8.322,20.7139
The Wild Robot,8.319,18.2738
Dead Poets Society,8.301,10.6628
Paths of Glory,8.3,3.0593
Léon: The Professional,8.3,11.1279
Neon Genesis Evangelion: The End of Evangelion,8.3,14.1874
Ikiru,8.3,5.829
Perfect Blue,8.3,11.5598
Sunset Boulevard,8.29,3.4501
The Great Dictator,8.29,2.3404
Modern Times,8.282,8.6121
Once Upon a Time in the West,8.278,6.569
It's a Wonderful Life,8.275,21.6306
Hotarubi no Mori e,8.272,0.0069
The Intouchables,8.272,8.623
Apocalypse Now,8.271,6.702
City Lights,8.264,8.0215
The Lion King,8.256,13.5569
Miracle in Cell No. 7,8.255,3.331
Oldboy,8.246,11.2568
Life in a Year,8.241,6.6551
Avengers: Endgame,8.237,13.8528
The Matrix,8.235,19.8696
Avengers: Infinity War,8.235,23.917
Klaus,8.231,5.7136
KPop Demon Hunters,8.23,107.9038
Five Feet Apart,8.227,6.4647
Green Book,8.225,12.4925
Come and See,8.223,5.8233
Saving Private Ryan,8.221,9.7321
Gladiator,8.22,13.8894
Wolf Children,8.219,5.8949
Inglourious Basterds,8.214,15.2618
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,8.209,14.2912
Justice League Dark: Apokolips War,8.207,3.5757
Wolfwalkers,8.206,3.7659
The Shining,8.206,12.2192
The Help,8.205,10.2175
Star Wars,8.204,15.0949
The Prestige,8.204,8.9953
Shutter Island,8.201,11.6043
Witness for the Prosecution,8.2,3.6804
Clouds,8.2,3.1399
Coco,8.2,69.1344
Puss in Boots: The Last Wish,8.2,11.6971
The Seventh Seal,8.2,3.7659
The Legend of 1900,8.2,3.7016
Vertigo,8.2,7.703
Tokyo Story,8.2,3.7465
I Want to Eat Your Pancreas,8.2,6.9905
Mommy,8.2,2.2143
The Handmaiden,8.197,16.1696
The Apartment,8.197,4.5236
